Company;Position;Link;Location;Type;Posted
Hudson River Trading LLC;Quantitative Software Engineer (Python);https://www.python.org/jobs/4506/;New York, NY, United States;;14.apr.20
Hudson River Trading LLC;Algo Software Engineer (C++/Python);https://www.python.org/jobs/4505/;New York, NY, United States;;14.apr.20
Novetta;Systems Engineer;https://www.python.org/jobs/4504/;Annapolis Junction, MD, USA;;14.apr.20
Novetta;Software Engineer;https://www.python.org/jobs/4503/;Annapolis Junction, MD, USA;;14.apr.20
Novetta;Digital Network Exploitation Analyst;https://www.python.org/jobs/4502/;Annapolis Junction, MD, USA;;14.apr.20
Novetta;CNO Analyst/Programer III;https://www.python.org/jobs/4501/;Annapolis Junction, MD, USA;;14.apr.20
Novetta;CNO Analyst/Programmer II;https://www.python.org/jobs/4500/;Annapolis Junction, MD, USA;;14.apr.20
Novetta;CNO Developer, Jr.;https://www.python.org/jobs/4499/;McLean, VA, USA;Big Data;14.apr.20
Novetta;Test Engineer;https://www.python.org/jobs/4498/;Fort Bragg, NC, USA;Big Data;14.apr.20
Novetta;Full Stack Developer, Python & Cloud;https://www.python.org/jobs/4497/;McLean, VA, USA;Big Data, Cloud;14.apr.20
Novetta;Python Developer;https://www.python.org/jobs/4496/;Springfield, VA, USA;Big Data;14.apr.20
Novetta;Network Analyst;https://www.python.org/jobs/4495/;Annapolis Junction, MD, USA;Big Data;14.apr.20
Novetta;Computer Scientist;https://www.python.org/jobs/4494/;Annapolis Junction, MD, USA;Big Data, Machine Learning;14.apr.20
Novetta;Data Scientist;https://www.python.org/jobs/4493/;Annapolis Junction, MD, USA;Big Data, Machine Learning;14.apr.20
Core Tech;Senior Full Stack Python Developer;https://www.python.org/jobs/4492/;London, Mayfair, United Kingdom;Back end, Big Data, Cloud, Front end, Machine Learning, Testing, Web, Django React Docker Microservices Numpy Pandas Tensorflow;11.apr.20
Facebook;Manager, Software Engineering;https://www.python.org/jobs/4491/;New York, NY, United States;Back end, Big Data, Database, Finance, Front end, Image Processing, Integration, Lead, Machine Learning, Management, Numeric processing, Operations, Systems, Testing, Text Processing, Web, Python;10.apr.20
Facebook;Software Engineer, Infrastructure;https://www.python.org/jobs/4490/;Menlo Park, California, United States;Back end, Big Data, Cloud, Database, Front end, Image Processing, Integration, Lead, Machine Learning, Management, Numeric processing, Operations, Systems, Testing, Text Processing, Web, Python;10.apr.20
Facebook;Production Engineer;https://www.python.org/jobs/4489/;Menlo Park, California, United States;Back end, Big Data, Front end, Machine Learning, Management, Systems, Testing, Web, Python;10.apr.20
Microsoft;Senior Program Manager;https://www.python.org/jobs/4488/;Redmond, WA, USA;;7.apr.20
Anyscale;Software Engineer (Frontend);https://www.python.org/jobs/4487/;Berkeley, CA, United States;Cloud, Front end, Machine Learning;7.apr.20
Anyscale;Software Engineer (Machine Learning);https://www.python.org/jobs/4486/;Berkeley, CA, United States;Back end, Cloud, Machine Learning;7.apr.20
Anyscale;Software Engineer;https://www.python.org/jobs/4485/;Berkeley, CA, United States;Back end, Cloud, Machine Learning;7.apr.20
Bloomberg LP;Senior Software Engineer (C++, Python, SQL) – Enterprise Product Workflows;https://www.python.org/jobs/4481/;New York, New York, United States of America;;2.apr.20
Bloomberg LP;Senior Software Engineer (Python/Go) for Enterprise Connectivity;https://www.python.org/jobs/4480/;New York, New York, United States of America;;2.apr.20
Bloomberg LP;Senior Software Engineer - Enterprise Data License;https://www.python.org/jobs/4479/;New York, New York, United States of America;Back end, Big Data;2.apr.20
Neuron soundware;SW Lead (Python);https://www.python.org/jobs/4478/;Prague, Czech Republic;Back end, Cloud, Database, Front end, Lead, Python;2.apr.20
Scrapinghub;DevOps Engineer - Remote;https://www.python.org/jobs/4475/;Remote, Remote, Remote;Big Data, Cloud, Operations, Systems, Web, Python Linux Kafka Docker Mesos Kubernetes;26 March 2020
Flowe Spa- Gruppo Mediolanum;Software/ Data Engineer;https://www.python.org/jobs/4471/;Milano 3, Basiglio (MI), Italy, Milan, Italy;Database, Machine Learning, Python;
Gorgias;Full-Stack Python/JS engineer;https://www.python.org/jobs/4470/;San Franciso, California, USA, and, Paris, Île-de-France, France;Back end, Web, Python JavaScript Flask (REST API) Celery PostgreSQL RabbitMQ Redis React;19 March 2020
High Tech Genesis;Python Developer;https://www.python.org/jobs/4468/;Kanata, ON, Canada;Back end;19 March 2020
High Tech Genesis;Senior Python Software Developer;https://www.python.org/jobs/4467/;Montreal, QC, Canada;Back end;19 March 2020
